INFO 2024-11-28 04:01:28,535 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:01:28,575 consumers New WebSocket connection: admin
INFO 2024-11-28 04:01:28,578 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:01:28,593 consumers New WebSocket connection: admin
INFO 2024-11-28 04:01:31,031 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:01:31,054 consumers New WebSocket connection: admin
INFO 2024-11-28 04:01:31,056 consumers New WebSocket connection: admin
INFO 2024-11-28 04:01:31,058 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:01:33,638 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:01:33,707 consumers New WebSocket connection: admin
INFO 2024-11-28 04:01:33,709 consumers New WebSocket connection: admin
INFO 2024-11-28 04:01:33,711 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:01:35,580 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:01:35,580 consumers New WebSocket connection: admin
INFO 2024-11-28 04:01:35,582 consumers New WebSocket connection: admin
INFO 2024-11-28 04:01:35,584 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:02:00,597 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:02:00,846 consumers New WebSocket connection: admin
INFO 2024-11-28 04:02:00,849 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:02:00,881 consumers New WebSocket connection: admin
INFO 2024-11-28 04:02:02,389 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:02:02,390 consumers New WebSocket connection: admin
INFO 2024-11-28 04:02:02,396 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:02:02,406 consumers New WebSocket connection: admin
INFO 2024-11-28 04:02:03,437 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:02:03,506 consumers New WebSocket connection: admin
INFO 2024-11-28 04:02:03,508 consumers New WebSocket connection: admin
INFO 2024-11-28 04:02:03,509 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:02:05,649 consumers WebSocket connection closed: admin
INFO 2024-11-28 04:02:05,718 consumers New WebSocket connection: admin
INFO 2024-11-28 04:03:08,894 consumers WebSocket connection closed: admin
